"id","code","name","user_type_id/id","reconcile","chart_template_id/id","tag_ids/id"
"chart7500201","750-02-01","Przychody z operacji finansowych Dodatnie różnice kursowe Zrealizowane","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart7500202","750-02-02","Przychody z operacji finansowych Dodatnie różnice kursowe Bilansowe","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart75101","751-01","Koszty z operacji finansowych Odsetki i inne","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart7510201","751-02-01","Koszty z operacji finansowych Rożnice kursowe Zrealizowane","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart7510202","751-02-02","Koszty z operacji finansowych Rożnice kursowe Bilansowe","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart75103","751-03","Koszty z operacji finansowych Odsetki budżetowe","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart76001","760-01","Pozostałe przychody operacyjne Różnice zaokrągleń","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart76002","760-02","Pozostałe przychody operacyjne Rozliczenie inwentaryzacji","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart76003","760-03","Pozostałe przychody operacyjne Inne","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart76004","760-04","Pozostałe przychody operacyjne Darowizny próbek,rabaty","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart76101","761-01","Pozostałe koszty operacyjne Różnice zaokrągleń","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart76102","761-02","Pozostałe koszty operacyjne Rozliczenie inwentaryzacji","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart76103","761-03","Pozostałe koszty operacyjne Inne","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart76104","761-04","Pozostałe koszty operacyjne Darowizny próbek,rabaty","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
